交易所,代码,公司,行业,PE,股息率,净利润率,毛利率,PB,ROE_TTM_2020,ROE_TTM_2019,ROE_TTM_2018,ROE_TTM_2017,ROE_TTM_2016,ROE_TTM_2015,净利润2020,净利润2019,净利润2018,净利润2017,净利润2016,每股收益2020TTM,每股收益2020,关注度
sz,="300239",东宝生物,生物科技,115.2012,0.006,0.0672,0.1893,2.6631,0.0319,0.0404,0.0323,0.0303,0.0124,0.0115,31503314,34701539,23585853,21694674.92,6510165.56,0.0603,0.0681,45
sz,="300357",我武生物,化学制剂,114.8225,0.003,0.4372,0.9627,24.5843,0.2065,0.2393,0.2584,0.2129,0.222,0.2331,273527579,247067438,199850648,138932038.54,122127812.8,0.5224,0.5697,25011
sz,="002574",明牌珠宝,服装与配饰,114.8139,0.0058,0.007,0.1243,0.8405,0.0064,0.0305,0.0328,0.0115,0.0119,0.0518,23637565,97191065,102592349,36729243.48,40604783.6,0.0448,0.1094,59
sh,="600468",百利电气,电气部件与设备,114.5569,0,0.0422,0.2092,3.8784,0.037,0.0293,0.0393,0.0365,0.0196,0.0876,57584843,47635274,66443573,59479826.66,16940201.62,0.0513,0.0502,47
sz,="300348",长亮科技,计算机软件,113.9329,0.0004,0.1037,0.5283,14.3182,0.1162,0.0527,0.0869,0.1133,0.0626,0.096,133083329,59623099,90318586,92501393.55,40111103.89,0.2762,0.2863,227
sh,="688106",金宏气体,,113.8029,0,0.1469,0.4707,6.9141,0.1969,0.2067,,,,,,,,,,0.4532,0.4875,17
sz,="300180",华峰超纤,化学制品,113.7018,0.0028,0.0374,0.268,2.3268,0.0204,0.0551,0.0865,0.0428,0.0502,0.0906,107288300,274091039,323424737,111769937.59,100669577.75,0.063,0.093,90
sh,="603501",韦尔股份,半导体,113.504,0.0004,0.0662,0.2872,17.0545,0.2052,0.0808,0.122,,,,859672436,146993257,144069604,,,0.9955,0.5391,690
sz,="000798",中水渔业,农牧渔产品,113.4503,0,0.0554,0.0259,3.9048,0.0381,0.0178,0.1147,0.0567,-0.4975,0.0233,32216036,16757498,76834702,39007892.9,-252753320.09,0.1008,0.0704,41
sh,="601226",华电重工,建筑与工程,113.4392,0.0072,0.0062,0.0905,1.3706,0.0119,0.0189,0.0172,-0.046,0.0674,,42559367,65330551,59039585,-165277643.88,244668267.31,0.0368,0.0712,34
sz,="300281",金明精机,专用设备,113.3946,0.0022,0.0971,0.1943,2.3186,0.0205,0.0147,0.0407,0.0436,0.042,0.0903,25158769,17833738,39584811,33621296.86,30024952.72,0.0601,0.0587,27
sh,="600703",三安光电,光电子器件,113.2804,0.0034,0.1442,0.2735,4.1105,0.0486,0.1166,0.1768,0.139,0.1286,0.1507,1068924068,2483014007,3441545586,2400434649.89,1797395692.35,0.2621,0.3184,1590
sh,="603456",九洲药业,化学原料药,113.1579,0.0063,0.1125,0.3698,9.4129,0.0792,0.0531,0.0584,0.0448,0.0945,,226813135,148987436,156995582,115801605.6,197436588.75,0.2815,0.2952,151
sh,="688122",西部超导,合成金属,113.08,0.0075,0.1035,0.329,7.1626,0.0641,0.0686,,,,,,138718877,,,,0.3546,0.3586,43
sh,="603709",中源家居,耐用家居用品,112.704,0.008,0.0192,0.286,3.8967,0.0336,0.1574,,,,,20521013,89585652,78127553,,,0.2565,0.4214,67
sz,="200625",长安Ｂ,,112.4736,0,0.0012,0.1598,0.415,0.0017,-0.0588,0.1306,0.2425,0.3123,0.3313,,-3416273886.7386,7597349581.427,10978535836.1326,11973536447.9232,0.0375,-0.6164,692
sz,="002752",昇兴股份,容器与包装,112.3166,0.004,0.0163,0.1305,2.8834,0.0212,0.0141,0.038,0.1002,0.1294,,46808473,30312733,68698428,175204959.8,161207411.37,0.0562,0.0642,46
sh,="603189",网达软件,计算机软件,112.2599,0.0019,0.1283,0.479,6.7531,0.0487,0.0319,0.0424,,,,39930431,25448450,33562091,,,0.1808,0.1558,115
sz,="000416",民生控股,消费金融,111.9709,0.0056,0.3726,0.9927,3.2176,0.0335,0.0296,0.0297,0.0403,0.0001,0.1362,27995290,24146003,24358098,33984620.65,-1876103.6,0.0526,0.0534,74
